system:index,NDVI_mean,cloud_cover_land,col,date,image_id,lat,lon,lst,max_lat,max_lon,min_lat,min_lon,row,scene_id,tile_id,.geo
0_0,0.40275672673164786,0.06,0.0,2022-03-31,tile_r0_c0_2022-03-31,12.884998666124494,80.11250000000763,41.32894863042022,12.92,80.125,12.85,80.1,0.0,LC09_L2SP_142051_20220331_20230423_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
0_1,0.5679464995457146,0.23,0.0,2022-10-25,tile_r0_c0_2022-10-25,12.884998666124494,80.11250000000763,36.58038021068298,12.92,80.125,12.85,80.1,0.0,LC09_L2SP_142051_20221025_20230324_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
0_2,0.4779399305745878,0.69,0.0,2022-05-26,tile_r0_c0_2022-05-26,12.884998666124494,80.11250000000763,40.721217607155886,12.92,80.125,12.85,80.1,0.0,LC08_L2SP_142051_20220526_20220602_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
0_3,0.539202091688348,1.2,0.0,2022-09-23,tile_r0_c0_2022-09-23,12.884998666124494,80.11250000000763,43.97822859623148,12.92,80.125,12.85,80.1,0.0,LC09_L2SP_142051_20220923_20230328_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
0_4,0.42862428634139743,1.24,0.0,2022-06-03,tile_r0_c0_2022-06-03,12.884998666124494,80.11250000000763,51.59607061196861,12.92,80.125,12.85,80.1,0.0,LC09_L2SP_142051_20220603_20230414_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
0_5,0.5474313281096884,4.36,0.0,2022-08-22,tile_r0_c0_2022-08-22,12.884998666124494,80.11250000000763,43.782733997723106,12.92,80.125,12.85,80.1,0.0,LC09_L2SP_142051_20220822_20230401_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
0_6,0.5168973287997591,16.48,0.0,2022-02-03,tile_r0_c0_2022-02-03,12.884998666124494,80.11250000000763,30.85442544183966,12.92,80.125,12.85,80.1,0.0,LC08_L2SP_142051_20220203_20220212_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
0_7,0.5759851097996883,18.06,0.0,2022-12-28,tile_r0_c0_2022-12-28,12.884998666124494,80.11250000000763,32.490013099372675,12.92,80.125,12.85,80.1,0.0,LC09_L2SP_142051_20221228_20230316_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
0_8,0.4652123939325545,19.23,0.0,2022-05-02,tile_r0_c0_2022-05-02,12.884998666124494,80.11250000000763,29.926972675122208,12.92,80.125,12.85,80.1,0.0,LC09_L2SP_142051_20220502_20230418_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
0_9,0.5513093341204663,19.39,0.0,2022-01-10,tile_r0_c0_2022-01-10,12.884998666124494,80.11250000000763,31.171571231770546,12.92,80.125,12.85,80.1,0.0,LC09_L2SP_142051_20220110_20230502_02_T1,tile_r0_c0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.1,12.85],[80.125,12.85],[80.125,12.92],[80.1,12.92],[80.1,12.85]]]}"
1_0,0.38593343543333,0.06,1.0,2022-03-31,tile_r0_c1_2022-03-31,12.884998666122844,80.13749999999388,41.53284609494591,12.92,80.15,12.85,80.125,0.0,LC09_L2SP_142051_20220331_20230423_02_T1,tile_r0_c1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.125,12.85],[80.15,12.85],[80.15,12.92],[80.125,12.92],[80.125,12.85]]]}"
1_1,0.56181425362457,0.23,1.0,2022-10-25,tile_r0_c1_2022-10-25,12.884998666122844,80.13749999999388,36.72689326760877,12.92,80.15,12.85,80.125,0.0,LC09_L2SP_142051_20221025_20230324_02_T1,tile_r0_c1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.125,12.85],[80.15,12.85],[80.15,12.92],[80.125,12.92],[80.125,12.85]]]}"
1_2,0.4201837036827193,0.69,1.0,2022-05-26,tile_r0_c1_2022-05-26,12.884998666122844,80.13749999999388,43.31997278636517,12.92,80.15,12.85,80.125,0.0,LC08_L2SP_142051_20220526_20220602_02_T1,tile_r0_c1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.125,12.85],[80.15,12.85],[80.15,12.92],[80.125,12.92],[80.125,12.85]]]}"
